"No.","Time","Source","Destination","Protocol","Length","Info"
"307","3.097228","1.1.1","host","USB","31","URB_INTERRUPT in"
"308","3.097289","host","1.1.1","USB","27","URB_INTERRUPT in"
"309","3.105213","1.1.1","host","USB","31","URB_INTERRUPT in"
"310","3.105275","host","1.1.1","USB","27","URB_INTERRUPT in"
"311","3.121338","1.1.1","host","USB","31","URB_INTERRUPT in"
"312","3.121401","host","1.1.1","USB","27","URB_INTERRUPT in"
"313","3.137247","1.1.1","host","USB","31","URB_INTERRUPT in"
"314","3.137312","host","1.1.1","USB","27","URB_INTERRUPT in"
"315","3.145241","1.1.1","host","USB","31","URB_INTERRUPT in"
"316","3.145307","host","1.1.1","USB","27","URB_INTERRUPT in"
"317","3.161343","1.1.1","host","USB","31","URB_INTERRUPT in"
"318","3.161406","host","1.1.1","USB","27","URB_INTERRUPT in"
"319","3.169260","1.1.1","host","USB","31","URB_INTERRUPT in"
"320","3.169325","host","1.1.1","USB","27","URB_INTERRUPT in"
"321","3.185235","1.1.1","host","USB","31","URB_INTERRUPT in"
"322","3.185305","host","1.1.1","USB","27","URB_INTERRUPT in"
"323","3.193613","1.1.1","host","USB","31","URB_INTERRUPT in"
"324","3.193679","host","1.1.1","USB","27","URB_INTERRUPT in"
"325","3.201207","1.1.1","host","USB","31","URB_INTERRUPT in"
"326","3.201317","host","1.1.1","USB","27","URB_INTERRUPT in"
"327","3.217390","1.1.1","host","USB","31","URB_INTERRUPT in"
"328","3.217452","host","1.1.1","USB","27","URB_INTERRUPT in"
"329","3.225194","1.1.1","host","USB","31","URB_INTERRUPT in"
"330","3.225254","host","1.1.1","USB","27","URB_INTERRUPT in"
"331","3.233622","1.1.1","host","USB","31","URB_INTERRUPT in"
"332","3.233685","host","1.1.1","USB","27","URB_INTERRUPT in"
"333","3.241236","1.1.1","host","USB","31","URB_INTERRUPT in"
"334","3.241293","host","1.1.1","USB","27","URB_INTERRUPT in"
"335","3.257247","1.1.1","host","USB","31","URB_INTERRUPT in"
"336","3.257360","host","1.1.1","USB","27","URB_INTERRUPT in"
"337","3.265241","1.1.1","host","USB","31","URB_INTERRUPT in"
"338","3.265302","host","1.1.1","USB","27","URB_INTERRUPT in"
"339","3.273247","1.1.1","host","USB","31","URB_INTERRUPT in"
"340","3.273309","host","1.1.1","USB","27","URB_INTERRUPT in"
"341","3.281286","1.1.1","host","USB","31","URB_INTERRUPT in"
"342","3.281346","host","1.1.1","USB","27","URB_INTERRUPT in"
"343","3.289242","1.1.1","host","USB","31","URB_INTERRUPT in"
"344","3.289306","host","1.1.1","USB","27","URB_INTERRUPT in"
"345","3.297243","1.1.1","host","USB","31","URB_INTERRUPT in"
"346","3.297305","host","1.1.1","USB","27","URB_INTERRUPT in"
"347","3.305246","1.1.1","host","USB","31","URB_INTERRUPT in"
"348","3.305308","host","1.1.1","USB","27","URB_INTERRUPT in"
"349","3.313241","1.1.1","host","USB","31","URB_INTERRUPT in"
"350","3.313304","host","1.1.1","USB","27","URB_INTERRUPT in"
"351","3.329241","1.1.1","host","USB","31","URB_INTERRUPT in"
"352","3.329306","host","1.1.1","USB","27","URB_INTERRUPT in"
"353","3.337244","1.1.1","host","USB","31","URB_INTERRUPT in"
"354","3.337307","host","1.1.1","USB","27","URB_INTERRUPT in"
"355","3.369244","1.1.1","host","USB","31","URB_INTERRUPT in"
"356","3.369312","host","1.1.1","USB","27","URB_INTERRUPT in"
"357","3.585241","1.1.1","host","USB","31","URB_INTERRUPT in"
"358","3.585303","host","1.1.1","USB","27","URB_INTERRUPT in"
"359","3.593241","1.1.1","host","USB","31","URB_INTERRUPT in"
"360","3.593304","host","1.1.1","USB","27","URB_INTERRUPT in"
"361","3.601363","1.1.1","host","USB","31","URB_INTERRUPT in"
"362","3.601476","host","1.1.1","USB","27","URB_INTERRUPT in"
"363","3.609243","1.1.1","host","USB","31","URB_INTERRUPT in"
"364","3.609303","host","1.1.1","USB","27","URB_INTERRUPT in"
"365","3.617232","1.1.1","host","USB","31","URB_INTERRUPT in"
"366","3.617294","host","1.1.1","USB","27","URB_INTERRUPT in"
"367","3.625174","1.1.1","host","USB","31","URB_INTERRUPT in"
"368","3.625236","host","1.1.1","USB","27","URB_INTERRUPT in"
"369","3.633244","1.1.1","host","USB","31","URB_INTERRUPT in"
"370","3.633307","host","1.1.1","USB","27","URB_INTERRUPT in"
"371","3.641236","1.1.1","host","USB","31","URB_INTERRUPT in"
"372","3.641324","host","1.1.1","USB","27","URB_INTERRUPT in"
"373","3.649212","1.1.1","host","USB","31","URB_INTERRUPT in"
"374","3.649272","host","1.1.1","USB","27","URB_INTERRUPT in"
"375","3.657297","1.1.1","host","USB","31","URB_INTERRUPT in"
"376","3.657381","host","1.1.1","USB","27","URB_INTERRUPT in"
"377","3.665100","1.1.1","host","USB","31","URB_INTERRUPT in"
"378","3.665158","host","1.1.1","USB","27","URB_INTERRUPT in"
"379","3.673236","1.1.1","host","USB","31","URB_INTERRUPT in"
"380","3.673299","host","1.1.1","USB","27","URB_INTERRUPT in"
"381","3.681218","1.1.1","host","USB","31","URB_INTERRUPT in"
"382","3.681279","host","1.1.1","USB","27","URB_INTERRUPT in"
"383","3.689274","1.1.1","host","USB","31","URB_INTERRUPT in"
"384","3.689337","host","1.1.1","USB","27","URB_INTERRUPT in"
"385","3.697243","1.1.1","host","USB","31","URB_INTERRUPT in"
"386","3.697305","host","1.1.1","USB","27","URB_INTERRUPT in"
"387","3.705242","1.1.1","host","USB","31","URB_INTERRUPT in"
"388","3.705309","host","1.1.1","USB","27","URB_INTERRUPT in"
"389","3.713228","1.1.1","host","USB","31","URB_INTERRUPT in"
"390","3.713294","host","1.1.1","USB","27","URB_INTERRUPT in"
"391","3.721383","1.1.1","host","USB","31","URB_INTERRUPT in"
"392","3.721447","host","1.1.1","USB","27","URB_INTERRUPT in"
"393","3.729249","1.1.1","host","USB","31","URB_INTERRUPT in"
"394","3.729312","host","1.1.1","USB","27","URB_INTERRUPT in"
"395","3.737241","1.1.1","host","USB","31","URB_INTERRUPT in"
"396","3.737302","host","1.1.1","USB","27","URB_INTERRUPT in"
